r2train_per_fold,[0]
r2test_per_fold,[0.9491089617166993]
r2testadj_per_fold,[0.9311474187931814]
rmse_per_fold,[1614.9348486211964]
mae_per_fold,[1405.369101085462]
maep_per_fold,[2.157907164497341]
mape_per_fold,[2.1006733686312695]
smape_per_fold,[2.0731397630078225]
test_name,finalTest
name,['none']
model_name,['XGBRegressor']
decomposition,eemd
nmodes,8
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9491
std_r2test,0.0
avg_r2testadj,0.9311
std_r2testadj,0.0
avg_rmse,1614.9348
std_rmse,0.0
avg_mae,1405.3691
std_mae,0.0
avg_maep,2.1579
std_maep,0.0
avg_mape,2.1007
std_mape,0.0
avg_smape,2.0731
std_smape,0.0
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,1.24
